IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ASSISTIVETECH_BARRIERAT,Barriers to accessing assistive products (%),numeric,EUR,Europe,Country,SWE,Sweden,Year,2021,true,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,Barriers to accessing assistive products,No support,ASSISTIVETECHBARRIER_ASSISTIVETECH_No_support,,,,,,,0,,,,,,0.0,,Survey conducted by Dalarna University,EN,2022-04-28T23:00:00.000Z
ASSISTIVETECH_BARRIERAT,Barriers to accessing assistive products (%),numeric,EUR,Europe,Country,SWE,Sweden,Year,2021,true,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,Barriers to accessing assistive products,Stigma,ASSISTIVETECHBARRIER_ASSISTIVETECH_Stigma,,,,,,,0,,,,,,0.0,,Survey conducted by Dalarna University,EN,2022-04-28T23:00:00.000Z
ASSISTIVETECH_BARRIERAT,Barriers to accessing assistive products (%),numeric,EUR,Europe,Country,SWE,Sweden,Year,2021,true,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,Barriers to accessing assistive products,Too far,ASSISTIVETECHBARRIER_ASSISTIVETECH_Too_far,,,,,,,0,,,,,,0.0,,Survey conducted by Dalarna University,EN,2022-04-28T23:00:00.000Z
ASSISTIVETECH_BARRIERAT,Barriers to accessing assistive products (%),numeric,EUR,Europe,Country,SWE,Sweden,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Barriers to accessing assistive products,No support,ASSISTIVETECHBARRIER_ASSISTIVETECH_No_support,,,,,,,0,,,,,,0.0,,Survey conducted by Dalarna University,EN,2022-04-28T23:00:00.000Z
ASSISTIVETECH_BARRIERAT,Barriers to accessing assistive products (%),numeric,EUR,Europe,Country,SWE,Sweden,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Barriers to accessing assistive products,Stigma,ASSISTIVETECHBARRIER_ASSISTIVETECH_Stigma,,,,,,,0,,,,,,0.0,,Survey conducted by Dalarna University,EN,2022-04-28T23:00:00.000Z
ASSISTIVETECH_BARRIERAT,Barriers to accessing assistive products (%),numeric,EUR,Europe,Country,SWE,Sweden,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Barriers to accessing assistive products,Too far,ASSISTIVETECHBARRIER_ASSISTIVETECH_Too_far,,,,,,,0,,,,,,0.0,,Survey conducted by Dalarna University,EN,2022-04-28T23:00:00.000Z
ASSISTIVETECH_BARRIERAT,Barriers to accessing assistive products (%),numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Barriers to accessing assistive products,Stigma,ASSISTIVETECHBARRIER_ASSISTIVETECH_Stigma,,,,,,,0,,,,,,0.0,,Survey conducted in Sughd region,EN,2022-04-28T23:00:00.000Z
ASSISTIVETECH_BARRIERAT,Barriers to accessing assistive products (%),numeric,AMR,Americas,Country,GTM,Guatemala,Year,2021,true,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,Barriers to accessing assistive products,Other,ASSISTIVETECHBARRIER_ASSISTIVETECH_Other,,,,,,,0.17,,,,,,0.2,,Survey conducted in Solola region. Survey conducted by Stichting Liliane Fonds,EN,2022-04-28T23:00:00.000Z
ASSISTIVETECH_BARRIERAT,Barriers to accessing assistive products (%),numeric,AFR,Africa,Country,MWI,Malawi,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Barriers to accessing assistive products,No time,ASSISTIVETECHBARRIER_ASSISTIVETECH_No_time,,,,,,,0.22,,,,,,0.2,,"Survey conducted in Blantyre region. Survey conducted by Centre for Social Research, University of Malawi",EN,2022-04-28T23:00:00.000Z
ASSISTIVETECH_BARRIERAT,Barriers to accessing assistive products (%),numeric,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2021,true,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,Barriers to accessing assistive products,Stigma,ASSISTIVETECHBARRIER_ASSISTIVETECH_Stigma,,,,,,,0.31,,,,,,0.3,,,EN,2022-04-28T23:00:00.000Z
